Expenses,Actuals
Ministry Support Services,0.009455
Capital Construction,0.960596
Property Management,0.427417
Asset Management,0.005861
Realty Services,0.188597
Alternative Capital Financing Partnerships Office,0.002087
Inter-ministry Consolidation Adjustments,-0.967232
Adjusted Ministry Total,0.626781
Audited Total Expense,0.627
