Expenses,Actuals
Ministry Support Services,0.004495
Forests,0.990246
Parks,0.107022
Lands,0.052277
Hunting and Angling,0.013124
Inter-ministry Consolidation Adjustments,-0.001506
Adjusted Ministry Total,1.165658
Audited Total Expense,1.166
