Expenses,Actuals
Ministry Support Services,0.009012
Court and Justice Services,0.251669
Legal Services,0.056837
Alberta Crown Prosecution Service,0.133960
Strategy Support & Integrated Initiatives,0.194757
Alberta Human Rights,0.007349
Inter-ministry Consolidation Adjustments,-0.000517
Adjusted Ministry Total,0.653067
Audited Total Expense,0.653
