Expenses,Actuals
Ministry Support Services,0.011540
Rural Programming and Agricultural Societies,0.020739
"Trade, Investment and Food Management",0.033626
Primary Agriculture,0.086178
Lending,0.030074
Insurance,2.040000
Agriculture Income Support,0.326928
Water Management,0.053407
Sustainable Canadian Agricultural Partnership,0.053726
Debt Servicing Costs,0.094169
Inter-ministry Consolidation Adjustments,-0.103368
Adjusted Ministry Total,2.647019
Audited Total Expense,2.647
