Expenses,Actuals
Ministry Support Services,0.005543
Immigration,0.022040
Multiculturalism,0.012226
Inter-ministry Consolidation Adjustments,-0.000440
Adjusted Ministry Total,0.039369
Audited Total Expense,0.039
Unreported,0
