Expenses,Actuals
Ministry Support Services,0.005875
Child Intervention,0.841972
Early Intervention Services for Children and Youth,0.150147
Indigenous Partnerships and Strategic Services,0.008417
Alberta Child and Family Benefit,0.319009
Affordability Supports and Inflation Relief - Families with Children,0.198814
Prevention of Family and Sexual Violence,0.087332
Inter-ministry Consolidation Adjustments,-0.005145
Adjusted Ministry Total,1.606421
Audited Total Expense,1.607
