Expenses,Actuals (Billions)
Ministry Support Services,0.0227
Public Security,0.724938
Correctional Services,0.319614
Alberta Emergency Management Agency,0.401893
Victims of Crime and Public Safety Fund,0.038534
Inter-ministry consolidation adjustments,-0.013658
Adjusted ministry total,1.49402
Audited Total Expense,1.494
