Expenses,Actuals
Ministry Support Services,0.005109
Resource Development and Management,0.073047
Cost of Selling Oil,0.366486
Carbon Capture and Storage,0.020865
Economic Recovery Program,0.109918
Energy Regulation,0.237132
Orphan Well Abandonment,0.150241
Inter-ministry Consolidation Adjustments,-0.001177
Adjusted Ministry Total Expenses,0.961621
Audited Total Expense,0.962
