Expenses,Actuals (Billions),
Ministry Support Services,0.004753,
Data, Privacy and Innovation,0.199663
Technology Support and Operations,0.38129,
Digital Design and Delivery,0.122946,
Cybersecurity,0.01231,
Alberta Enterprise Corporation,0.003754,
Alberta Innovates Corporation,0.251178,
Inter-ministry consolidation adjustments,-0.163983,
Adjusted Ministry Total,0.811911,
Audited Total Expense,0.812,
