Expenses,Actuals
Ministry Support Services,0.007237
Community and Voluntary Support Services,0.157585
Cultural Industries,0.016045
Arts,0.027104
Francophone Secretariat,0.001160
Heritage,0.050304
Status of Women,0.005337
Inter-ministry Consolidated Adjustments,-0.002426
Adjusted Ministry Total,0.262346
Audited Total Expense,0.263
