Expenses,Actuals (Billions)
Ministry Support Services,0.004302
Municipal Services,0.04824
Municipal Assessment and Grants,0.02791
Municipal Sustainability Initiative,0.545
Federal Grant Programs,0.277696
Grants in Place of Taxes,0.033259
Alberta Community Partnership,0.016351
Technical and Corporate Services,0.013047
Land and Property Rights Tribunal,0.007071
Calgary Event Centre-Community Rink,0.0004
Safety Codes Council,0.016009
Adjusted ministry total,0.989285
Audited Total Expense,0.989
