Description,Estimated,Other Authorization,Total,Total Actual
Emergency and Disaster Management Operations,39033000,17009031,56042031,41424762
Climate Readiness Programs,28429000,10144396,38573396,44009443
Executive and Support Services (Minister's Office),704000,0,704000,721049
Executive and Support Services (Corporate Services),10881000,537000,11418000,20582173
Emergency and Disaster Management Act,30000000,275692301,305692301,305692301
Financial Assistance,6420000,16820567,23240567,23240567
Adjustment of Prior Year Accrual,0,0,0,-522659
Total Expense,115467000,320203295,435670295,435147636
