Description,Estimated,Other Authorization,Total,Total Actual
Intergovernmental Relations Secretariat,3837000,0,3837000,4425092
Cabinet Operations,2293000,0,2293000,2187254
Planning and Priorities Secretariat,1772000,0,1772000,1053214
Executive and Support Services - Premier's Office,5932000,0,5932000,6042400
Executive and Support Services - Deputy Minister's Office,2920000,0,2920000,2380596
Local Government (Transferred from Ministry of Municipal Affairs),0,623000,623000,162
Total Expense,16754000,623000,17377000,16088718
